Locality,Sampling,ColorMorph,Count,CountScars
Aguncheiro,1,Albida,0,0
Aguncheiro,1,Lutea,2,1
Aguncheiro,1,Nigra,5,0
Aguncheiro,1,Lineata,11,1
Aguncheiro,2,Albida,0,0
Aguncheiro,2,Lutea,1,0
Aguncheiro,2,Nigra,4,0
Aguncheiro,2,Lineata,7,1
Aguncheiro,3,Albida,1,1
Aguncheiro,3,Lutea,1,1
Aguncheiro,3,Nigra,9,0
Aguncheiro,3,Lineata,3,0
Aguncheiro,4,Albida,0,0
Aguncheiro,4,Lutea,3,1
Aguncheiro,4,Nigra,2,0
Aguncheiro,4,Lineata,4,1
Aguncheiro,5,Albida,0,0
Aguncheiro,5,Lutea,1,0
Aguncheiro,5,Nigra,2,1
Aguncheiro,5,Lineata,5,2
Aguncheiro,6,Albida,1,1
Aguncheiro,6,Lutea,3,2
Aguncheiro,6,Nigra,10,5
Aguncheiro,6,Lineata,14,4
Silleiro,1,Albida,0,0
Silleiro,1,Lutea,0,0
Silleiro,1,Nigra,0,0
Silleiro,1,Lineata,36,12
Silleiro,2,Albida,0,0
Silleiro,2,Lutea,0,0
Silleiro,2,Nigra,0,0
Silleiro,2,Lineata,20,4
Silleiro,3,Albida,0,0
Silleiro,3,Lutea,0,0
Silleiro,3,Nigra,0,0
Silleiro,3,Lineata,19,8
Silleiro,4,Albida,0,0
Silleiro,4,Lutea,0,0
Silleiro,4,Nigra,0,0
Silleiro,4,Lineata,17,6
Silleiro,5,Albida,0,0
Silleiro,5,Lutea,0,0
Silleiro,5,Nigra,0,0
Silleiro,5,Lineata,15,1
Silleiro,6,Albida,0,0
Silleiro,6,Lutea,0,0
Silleiro,6,Nigra,0,0
Silleiro,6,Lineata,16,3